MSE,ICP rX,ICP rY,ICP rZ,GT rX,GT rY,GT rZ
0.00384492,30.4071,3.46432,-10.106,-4.82055,34.3445,-5.0637
0.0047115,29.853,3.14096,-10.2048,-5.03509,34.307,-5.3709
0.0040553,29.4291,2.9813,-10.1947,-4.95293,34.3947,-4.93943
0.00408676,28.9958,2.87312,-10.2836,-5.07855,34.5058,-5.00142
0.00472111,28.3499,2.69505,-10.1946,-5.17348,34.588,-4.80484
0.00534214,27.5706,2.57839,-10.1722,-4.97019,34.5756,-4.13425
0.00429008,27.1451,2.7319,-10.1335,-4.95869,34.7295,-3.95949
0.00508907,26.3468,2.54305,-10.1781,-5.07634,34.8089,-3.82907
0.00506736,25.7372,2.23871,-10.5916,-4.96607,34.9149,-3.24047
0.00422439,25.2778,2.2362,-10.7584,-5.07461,35.1178,-3.20459
0.00591827,24.3483,2.01721,-10.8595,-5.04258,35.2794,-2.76298
0.00524025,23.3743,1.84653,-10.9997,-4.88415,35.5827,-2.21746
0.00448775,22.5251,1.70493,-11.1137,-4.58116,35.8148,-1.5797
0.00462965,21.3899,1.66163,-10.8732,-4.29053,36.0164,-0.770732
0.00439433,20.8,1.67415,-10.7865,-4.19517,36.2818,-0.505998
0.00405801,20.3886,1.69162,-10.9063,-4.26141,36.6188,-0.597157
0.004198,19.9651,1.73218,-10.5597,-4.4958,36.7151,-0.689057
0.00370433,19.691,1.90934,-10.48,-4.82783,36.9636,-1.20412
0.00344738,19.4699,2.07461,-10.5883,-4.77406,37.1422,-1.22832
0.00383107,18.8102,2.16813,-10.6478,-4.44497,37.343,-0.868097
0.00364952,17.9717,2.1392,-10.9843,-3.98709,37.5227,-0.0339136
0.0037835,17.3999,2.2608,-11.0034,-3.50165,37.8028,0.507183
0.00396873,16.6082,2.24187,-11.2355,-3.15603,38.1611,0.920293
0.00386155,15.5763,2.23279,-11.3213,-2.54104,38.4359,1.97954
0.00346446,15.3799,2.20697,-11.6082,-2.57852,38.9271,1.6429
0.00370574,14.7605,2.23533,-11.7485,-2.12351,39.2187,2.22038
0.00341041,14.3451,2.10955,-12.185,-1.96405,39.5345,2.63796
0.00330833,14.4028,2.2531,-12.1558,-1.95407,39.9224,2.42095
0.00342027,14.3064,2.39204,-12.1895,-2.10462,40.2341,2.15225
0.00373003,13.9144,2.2997,-12.2946,-1.91317,40.6021,2.15788
0.0035277,13.4737,2.30462,-12.4847,-1.98098,40.868,2.46716
0.00331326,14.0822,2.33701,-12.5901,-2.73904,41.2591,1.20673
0.00342165,14.5227,2.35937,-12.4246,-3.36969,41.6264,0.217418
0.00338589,14.1227,2.27582,-12.6251,-3.6049,41.8772,0.251538
0.00380437,13.6664,2.12936,-12.5985,-4.30375,42.65,-0.419018
0.00513671,12.464,1.94323,-11.4677,-4.15321,42.9395,0.481963
0.00386391,11.5778,1.52636,-11.418,-3.93821,43.4283,1.22753
0.00361483,11.0602,1.0922,-11.2826,-4.14786,43.931,1.35927
0.00383023,10.6029,0.838498,-11.0598,-4.33488,44.4838,1.46837
0.00451134,9.91635,0.496897,-11.3936,-4.34715,45.0703,1.85968
0.00451735,8.98007,0.102186,-11.3861,-3.92288,45.5781,2.72194
0.00452286,8.05296,-0.117382,-11.3179,-3.84207,46.0994,3.18863
0.00493997,7.28668,-0.701933,-11.6299,-3.31613,46.74,4.06939
0.00403254,7.10614,-1.12175,-11.6661,-3.64765,47.3961,4.14571
0.00367717,7.24264,-1.5207,-11.8538,-4.40348,48.0351,3.26088
0.0053474,6.41543,-1.88103,-11.4637,-4.12807,48.5612,3.98293
